images,masks
Challenge_Set_Images/13.webp,Challenge_Set_Masks/13.png
Challenge_Set_Images/f6a75bab3c86d9445badef83b01c76d19ebb718f-4000x2400.jpg,Challenge_Set_Masks/f6a75bab3c86d9445badef83b01c76d19ebb718f-4000x2400.png
Challenge_Set_Images/ILSVRC2012_test_00000082.jpg,Challenge_Set_Masks/ILSVRC2012_test_00000082.png
Challenge_Set_Images/ILSVRC2012_test_00000128.jpg,Challenge_Set_Masks/ILSVRC2012_test_00000128.png
Challenge_Set_Images/ILSVRC2012_test_00000789.jpg,Challenge_Set_Masks/ILSVRC2012_test_00000789.png
Challenge_Set_Images/ILSVRC2012_test_00001157.jpg,Challenge_Set_Masks/ILSVRC2012_test_00001157.png
Challenge_Set_Images/ILSVRC2012_test_00001775.jpg,Challenge_Set_Masks/ILSVRC2012_test_00001775.png
Challenge_Set_Images/ILSVRC2012_test_00002679.jpg,Challenge_Set_Masks/ILSVRC2012_test_00002679.png
Challenge_Set_Images/ILSVRC2012_test_00003109.jpg,Challenge_Set_Masks/ILSVRC2012_test_00003109.png
Challenge_Set_Images/ILSVRC2012_test_00003274.jpg,Challenge_Set_Masks/ILSVRC2012_test_00003274.png
Challenge_Set_Images/ILSVRC2012_test_00003603.jpg,Challenge_Set_Masks/ILSVRC2012_test_00003603.png
Challenge_Set_Images/ILSVRC2012_test_00005290.jpg,Challenge_Set_Masks/ILSVRC2012_test_00005290.png
Challenge_Set_Images/ILSVRC2012_test_00005605.jpg,Challenge_Set_Masks/ILSVRC2012_test_00005605.png
Challenge_Set_Images/ILSVRC2012_test_00007140.jpg,Challenge_Set_Masks/ILSVRC2012_test_00007140.png
Challenge_Set_Images/ILSVRC2012_test_00007145.jpg,Challenge_Set_Masks/ILSVRC2012_test_00007145.png
Challenge_Set_Images/ILSVRC2012_test_00007437.jpg,Challenge_Set_Masks/ILSVRC2012_test_00007437.png
Challenge_Set_Images/ILSVRC2012_test_00007895.jpg,Challenge_Set_Masks/ILSVRC2012_test_00007895.png
Challenge_Set_Images/ILSVRC2012_test_00008827.jpg,Challenge_Set_Masks/ILSVRC2012_test_00008827.png
Challenge_Set_Images/ILSVRC2012_test_00009530.jpg,Challenge_Set_Masks/ILSVRC2012_test_00009530.png
Challenge_Set_Images/ILSVRC2012_test_00011118.jpg,Challenge_Set_Masks/ILSVRC2012_test_00011118.png
Challenge_Set_Images/ILSVRC2012_test_00012565.jpg,Challenge_Set_Masks/ILSVRC2012_test_00012565.png
